"Time","Kanye West","ADIDAS","Yeezy"
"2022-08-31",6,45,1
"2022-09-01",7,43,1
"2022-09-02",12,44,1
"2022-09-03",12,50,1
"2022-09-04",13,53,1
"2022-09-05",9,45,1
"2022-09-06",8,43,1
"2022-09-07",8,44,1
"2022-09-08",6,41,1
"2022-09-09",6,44,1
"2022-09-10",6,48,1
"2022-09-11",6,47,1
"2022-09-12",6,41,0
"2022-09-13",5,41,0
"2022-09-14",6,40,0
"2022-09-15",7,41,1
"2022-09-16",8,41,1
"2022-09-17",7,49,1
"2022-09-18",7,49,1
"2022-09-19",6,42,1
"2022-09-20",6,39,1
"2022-09-21",6,41,1
"2022-09-22",7,39,1
"2022-09-23",7,41,1
"2022-09-24",7,47,1
"2022-09-25",6,49,1
"2022-09-26",7,41,1
"2022-09-27",7,40,1
"2022-09-28",6,40,1
"2022-09-29",7,40,1
"2022-09-30",6,41,1
"2022-10-01",6,46,1
"2022-10-02",6,44,1
"2022-10-03",10,41,2
"2022-10-04",17,40,2
"2022-10-05",15,43,1
"2022-10-06",15,40,1
"2022-10-07",23,40,2
"2022-10-08",22,47,2
"2022-10-09",21,48,2
"2022-10-10",30,41,2
"2022-10-11",25,40,1
"2022-10-12",19,40,1
"2022-10-13",17,39,1
"2022-10-14",13,39,1
"2022-10-15",10,47,1
"2022-10-16",13,45,1
"2022-10-17",18,38,1
"2022-10-18",19,40,1
"2022-10-19",17,38,1
"2022-10-20",15,40,2
"2022-10-21",15,39,2
"2022-10-22",17,46,2
"2022-10-23",17,48,1
"2022-10-24",34,44,1
"2022-10-25",100,56,3
"2022-10-26",100,48,3
"2022-10-27",84,43,2
"2022-10-28",55,41,1
"2022-10-29",37,46,1
"2022-10-30",32,45,1
"2022-10-31",26,35,1
"2022-11-01",20,40,0
"2022-11-02",16,42,1
"2022-11-03",14,43,1
"2022-11-04",18,46,1
"2022-11-05",15,46,0
"2022-11-06",12,49,0
"2022-11-07",11,42,0
"2022-11-08",10,42,0
"2022-11-09",9,41,0
"2022-11-10",9,39,0
"2022-11-11",8,46,0
"2022-11-12",10,50,0
"2022-11-13",11,52,0
"2022-11-14",10,44,0
"2022-11-15",9,44,0
"2022-11-16",8,45,0
"2022-11-17",8,45,0
"2022-11-18",8,50,0
"2022-11-19",8,56,0
"2022-11-20",8,58,0
"2022-11-21",10,48,1
"2022-11-22",9,49,0
"2022-11-23",9,52,0
"2022-11-24",9,54,1
"2022-11-25",11,77,1
"2022-11-26",12,69,1
"2022-11-27",11,68,1
"2022-11-28",10,51,1
"2022-11-29",12,49,1
"2022-11-30",15,42,0
